Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit
close-to-home-by-finn-obrian,Close to Home by Finn O'Brien,"<p>A two colour screen print. Dimensions 29.7 x 42 cm. Edition size of /20, numbered and signed by the artist. </p>",Art Against Knives Gallery,Print,"",true,Size,29.7 x 42 cm,,,,,D0112,0,shopify,6,deny,manual,65.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/FINNOBRIEN_-_D0112_-_D0121EDIT.jpg?v=1351717151,,false,,,,,,,,,,,,,,,,,oz
close-to-home-by-finn-obrian,,,,,,,,Framed,,,,,"",0,shopify,1,deny,manual,150.00,,true,true,,,,,,,,,,,,,,,,,,,,,oz
creatures-of-the-night-owl,Creatures of the Night (Owl),"<p>A one colour screen print. Dimensions 42 x 59.4 cm. Edition size /8, numbered and signed by the artist. </p>",BD Network,Print,"",true,Size,59.4 x 42 cm,,,,,D0087,0,shopify,1,deny,manual,35.00,40.00,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/creatures_visual_referenece_21.jpg?v=1351713239,,false,,,,,,,,,,,,,,,,,oz
creatures-of-the-night-owl,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Creatures_Visual_Referenece-21.jpg?v=1351713302,,,,,,,,,,,,,,,,,,,
salvador-dali,Salvador Dali,"<p>Framed and mounted digital print on canvas. Award winning print designed by leading creative agency Leagas Delaney in support of Art Against Knives activities. Dimensions 44 x 51.5 cm.&nbsp;</p>
",Leagas Delaney,Print,"",true,Title,Default Title,,,,,C0011,0,shopify,500,deny,manual,250.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/LOGO-AAK_low.jpg?v=1351770501,,false,,,,,,,,,,,,,,,,,oz
salvador-dali,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/LOGO-AAK_low_1.jpg?v=1351770509,,,,,,,,,,,,,,,,,,,
me-n-chris-by-jon-costi,Me 'n' Chris by Jon Costi,"<p>A one of a kind mixed media collage on canvas. Dimensions 100 x 100 cm.  <span><i><span> </span></i></span></p>
<p><span><i><span>“It’s a cliché, but I didn’t see myself living to 24. Without a doubt art turned my life around. I’ve a friend who was released at the same time as me. He’s now doing time for murder. My life is so different — I used to be a criminal and had money, but no future. Now I just have my student loan but all I do is create and support other young people thanks to Art Against Knives.”</span></i><span>  </span><span>John, Volunteer for Art Against Knives  </span><span> </span></span></p>
<p><span><span>After serving a 4 year prison sentence John took up a place at Chelsea College and became their student of the year. John now runs graffiti workshops for Art Against Knives and is working towards a his Degree at Camberwell College of Art. </span></span></p>",Art Against Knives Gallery,Mixed Media,"",false,Size,100 x 100 cm,,,,,C0004,0,shopify,1,deny,manual,2000.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/JONCOSTI_-_C0004_EDIT.jpg?v=1351777067,,false,,,,,,,,,,,,,,,,,oz
me-n-chris-by-jon-costi,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/JONCOSTI_-_C0004_EDIT_DETAIL.jpg?v=1351777079,,,,,,,,,,,,,,,,,,,
batman-by-tom-spicer,Batman by Tom Spicer,<p>Mixed media on wood panel. Dimensions 62.2 x 86.6 cm. </p>,Art Against Knives Gallery,Painting,"",false,Title,Default Title,,,,,C0001,0,shopify,1,deny,manual,1500.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/Batman_C0001.jpg?v=1351705466,,false,,,,,,,,,,,,,,,,,oz
batman-by-tom-spicer,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Batman_C2.jpg?v=1351705551,,,,,,,,,,,,,,,,,,,
sea-lion,Sea Lion,"<p>A one colour screen print. Dimensions 29.7 x 42 cm. An edition size of /8, numbered and signed by the artist. This was printed by a young person in Art Against Knives workshop </p>
<p><img src=""//cdn.shopify.com/s/files/1/0190/2782/files/roselogo_compact.png?1805"" alt=""""> </p>",BD Network,Print,"",true,Size,42 x 29.7 cm - FRAMED,,,,,D0067,0,shopify,1,deny,manual,35.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/Creatures_Visual_Referenece-2.jpg?v=1440774377,,false,,,,,,,,,,,,,,,,,oz
owl,Owl,"<p>A one colour screen print. Dimensions 29.7 x 42 cm. Edition size of /10, numbered and signed by the artist. </p>",BD Network,Print,"",true,Size,42 x 29.7 cm,,,,,D0062,0,shopify,1,deny,manual,30.00,40.00,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/Creatures_Visual_Referenece-14.jpg?v=1351698062,,false,,,,,,,,,,,,,,,,,oz
owl,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Creatures_Visual_Referenece-15.jpg?v=1351697757,,,,,,,,,,,,,,,,,,,
flea-in-heaven,Flea in Heaven,"<p>A two colour screen print. Dimensions 29.7 x 42 cm. Edition size of /8, numbered and signed by the artist. </p>",BD Network,Print,"",true,Size,42 x 29.7 cm,,,,,D0058,0,shopify,4,deny,manual,30.00,45.00,false,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/Creatures_Visual_Referenece-25.jpg?v=1351697130,,false,,,,,,,,,,,,,,,,,oz
flea-in-heaven,,,,,,,,Framed,,,,,"",0,shopify,1,deny,manual,60.00,45.00,false,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/Creatures_Visual_Referenece-24.jpg?v=1351697036,,,,,,,,,,,,,,,,,,,oz
two-little-ducks,Two Little Ducks,"<p>A two colour screen print. Dimensions 29.7 x 42 cm. An edition size of /8, numbered and signed by the artist. </p>",BD Network,Print,"",true,Size,42 x 29.7 cm,,,,,D0052,0,shopify,3,deny,manual,30.00,45.00,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/Creatures_Visual_Referenece-23.jpg?v=1351697286,,false,,,,,,,,,,,,,,,,,oz
two-little-ducks,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Creatures_Visual_Referenece-26.jpg?v=1351697173,,,,,,,,,,,,,,,,,,,
waterland-by-francesca-landi,Waterland by Francesca Landi,<p>A digital print. Dimensions 30 x 30 cm. Edition size of /2. </p>,Art Against Knives Gallery,Print,"",false,Size,30 x 30 cm,,,,,A0033,0,shopify,0,deny,manual,35.00,50.00,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/WATERLAND_EDIT.jpg?v=1351775625,,false,,,,,,,,,,,,,,,,,oz
fuck-off-by-dark,Fuck Off by Dark,<p>A one colour silkscreen print. Dimensions 30 x 30cm. Edition size of /8. </p>,Art Against Knives Gallery,Print,"",false,Size,30 x 30 cm,,,,,A0031,0,shopify,1,deny,manual,25.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/dark.jpg?v=1351770940,,false,,,,,,,,,,,,,,,,,oz
london-2012-by-henry-kingston,London 2012 by Henry Kingston,"<p>A digital print. Dimensions 23.5 x 30 cm.  </p>
<p>This Item is Framed (postage will be more) Please contact us for more details : hello@artagainstknives.com</p>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>",Art Against Knives Gallery,Print,"",false,Title,Default Title,,,,,A0030,0,shopify,0,deny,manual,75.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/London_2012_A0030.jpg?v=1351684985,,false,,,,,,,,,,,,,,,,,oz
london-2012-by-henry-kingston,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/London_2012_A31.jpg?v=1351685015,,,,,,,,,,,,,,,,,,,
approach-by-vasilisia-forbes,Approach by Vasilisia Forbes,<p>A two colour silkscreen print. Dimensions 30 x 30 cm. Edition size of /10.  </p>,Art Against Knives Gallery,Print,"",false,Size,30 x 30 cm,,,,,A0029,0,shopify,0,deny,manual,25.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/A0029_Vasilisia_Forbes.jpg?v=1351710213,,false,,,,,,,,,,,,,,,,,oz
hive-phase-by-kyle-zeto,Hive Phase by Kyle Zeto,<p>A digital print. Dimensions  30 x 30cm. Edition size of /11</p>,Art Against Knives Gallery,Print,"",false,Title,Default Title,Size,30 x 30 cm,,,A0026,0,shopify,1,deny,manual,25.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/A0025_A0026_Kyle_Zeto_small.jpg?v=1351712169,,false,,,,,,,,,,,,,,,,,oz
le-jour-by-helena-mueller,Le Jour by Helena Mueller,"<div>A digital print. Dimensions 30 x 30 cm. Edition size of /6.</div>
<div><br />
</div>
&nbsp;
",Art Against Knives Gallery,Print,"",true,Size,30 x 30 cm,,,,,A0015,0,shopify,4,deny,manual,20.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/A0015_A0019_Helena_Mueller_small.jpg?v=1351712926,,false,,,,,,,,,,,,,,,,,oz
eagle-by-grace-taylor,Eagle by Grace Taylor,<p>A digital print. Dimensions 23.6cm x 30cm. Edition size of /11. </p>,Art Against Knives Gallery,Print,"",false,Size,30 x 23.6 cm,,,,,A0032,0,shopify,5,deny,manual,25.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/A0032_A0009_-_A0014_Grace_Taylor_small.jpg?v=1351687247,,false,,,,,,,,,,,,,,,,,oz
translation-francesca-woodman-by-chloe-newman,Translation: Francesca Woodman by Chloe Newman,<p>A silkscreen print. Dimensions 30 x 30 cm. An edition size of /10.  </p>,Art Against Knives Gallery,Print,"",true,Size,30 x 30 cm,,,,,A0006,0,shopify,2,deny,manual,25.00,25.00,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/A0006_-_A0009_Chloe_Newman_small.jpg?v=1351703075,,false,,,,,,,,,,,,,,,,,oz
manimal-by-christopher-duncan,Manimal by Christopher Duncan,<p>A digital film still. Dimensions 30 x 30 cm.  </p>,Art Against Knives Gallery,Film Still,"",false,Size,30 x 30 cm,,,,,A0004,0,shopify,1,deny,manual,60.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/A0004_Christopher_Duncan.jpg?v=1351702791,,false,,,,,,,,,,,,,,,,,oz
untitled-by-charlotte-goodman,Untitled by Charlotte Goodman,<p><span>A mixed-media collage. Dimensions 30 x 30 cm. </span></p>,Art Against Knives Gallery,Collage,"",false,Size,30 x 30 cm,,,,,A0001,0,shopify,1,deny,manual,80.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/A0001_Charlotte_Goodman_small.jpg?v=1351703740,,false,,,,,,,,,,,,,,,,,oz
reign-in-blood-by-greg-eason,Reign in Blood by Greg Eason,"<p>A giclee print. Dimensions 42 x 59.2cm. Edition size of /50, numbered and signed by the artist. </p>",The Contemporary London,Print,"",true,Title,Default Title,,,,,G0012,0,shopify,2,deny,manual,150.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/Reign-in-Blood-web.jpg?v=1351770369,,false,,,,,,,,,,,,,,,,,oz
reign-in-blood-by-greg-eason,,,,,,,,FRAMED,,,,,"",0,shopify,2,deny,manual,250.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/Reign-in-Blood-web_1.jpg?v=1351770376,,,,,,,,,,,,,,,,,,,oz
diamond-mountain-goat-by-greg-eason,Diamond Mountain Goat by Greg Eason,<p>Pencil on paper. Dimensions 48.7 x 59 cm. This work is framed. </p>,The Contemporary London,Drawing,"",true,Title,Default Title,,,,,G0001,0,shopify,1,deny,manual,500.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/Diamond-Mountain-Goats-web.jpg?v=1351770303,,false,,,,,,,,,,,,,,,,,oz
diamond-mountain-goat-by-greg-eason,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Diamond-Mountain-Goats-web_1.jpg?v=1351770316,,,,,,,,,,,,,,,,,,,
untitled-by-wilkinson-brown,Untitled by Jack Wilkinson,"<p>Oil on wood board. Dimensions 129 x 189 cm. </p>
",Art Against Knives Gallery,Painting,"",false,Title,Default Title,,,,,C0012,0,shopify,0,deny,manual,500.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/JACKWILKINSON_-_C0012_EDIT.jpg?v=1351781922,,false,,,,,,,,,,,,,,,,,oz
untitled-by-wilkinson-brown,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/JACKWILKINSON_-_C0012_EDIT_1.jpg?v=1351781959,,,,,,,,,,,,,,,,,,,
untitled-by-wilkinson-brown,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/JACKWILKINSON_-_C0012_EDIT_DETAIL.jpg?v=1351781974,,,,,,,,,,,,,,,,,,,
limited-edition-boxset-by-various,The Contemporary London Editions Box Set,"<p>5 x giclee prints. Dimensions 21 x 29.7 cm. Edition size of /100. </p>
<p>This beautiful box set includes works from emerging artists: Greg Eason, Sandra Erbacher, Fran Giffard, Mercedes Baliarda and Jess Littlewood. Each print is numbered and signed by the artist and the whole set accompanied by a certificate of authenticity. </p>",The Contemporary London,Print,"",true,Size,0.5 x 30 x 21 cm,,,,,G0017,0,shopify,10,deny,manual,140.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/Contemporary_London_Box_Cover.jpg?v=1351773621,,false,,,,,,,,,,,,,,,,,oz
limited-edition-boxset-by-various,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Contemporary_London_Limited_Edition_Box_Set_-_1_Fran_Gaffard.jpg?v=1351773673,,,,,,,,,,,,,,,,,,,
limited-edition-boxset-by-various,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Contemporary_London_Limited_Edition_Box_Set_-_3_Jess_Littlewod.jpg?v=1351773765,,,,,,,,,,,,,,,,,,,
limited-edition-boxset-by-various,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Contemporary_London_Limited_Edition_Box_Set_-_4_Mercedes_Baliarda.jpg?v=1351773805,,,,,,,,,,,,,,,,,,,
limited-edition-boxset-by-various,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Contemporary_London_Limited_Edition_Box_Set_-_2_Greg_Easton.jpg?v=1351774619,,,,,,,,,,,,,,,,,,,
limited-edition-boxset-by-various,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Contemporary_London_Limited_Edition_Box_Set_-_5_Sandra_Erbacher.jpg?v=1351774843,,,,,,,,,,,,,,,,,,,
angel-by-greg-eason-1,Angel by Greg Eason,"<p>A giclee print. Dimensions 42 x 59.2 cm. Edition size of /50, numbered and signed by the artist.  </p>",The Contemporary London,Print,"Angel, Greg Eason",false,Size,42 x 59.2 cm,,,,,G0004,0,shopify,4,deny,manual,150.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/Angel-web.jpg?v=1351770254,,false,,,,,,,,,,,,,,,,,oz
angel-by-greg-eason-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Angel-web_1.jpg?v=1351770260,,,,,,,,,,,,,,,,,,,
birds-by-ute-panella,Birds by Ute Panella,"<p><span>Oil paint on wood panel. Dimension 30 x 30 cm. </span></p>
<p><span><br>
</span></p>
",Art Against Knives Gallery,Painting,"",false,Size,30 x 30 cm,,,,,A0003,0,shopify,1,deny,manual,70.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/A0003_Ute_Panella_small.jpg?v=1351686582,,false,,,,,,,,,,,,,,,,,oz
as-the-crow-flies-by-dolly-demoratti,As the Crow Flies Print Poster by Dolly Demoratti,"<p>A two colour screen print. Two different colour ways: orange and mint. Dimensions 50 x 70 cm. Each colour way is an edition of /10, numbered and signed by the artist. </p>",Mother Drucker,Print,"",false,Size,50 x 70 cm,Color,Orange,,,ENDC0049,0,shopify,0,deny,manual,35.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/md1.jpg?v=1351612615,,false,,,,,,,,,,,,,,,,,oz
as-the-crow-flies-by-dolly-demoratti,,,,,,,,50 x 70 cm,,Mint,,,"",0,shopify,0,deny,manual,35.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/md2.jpg?v=1351612829,,,,,,,,,,,,,,,,,,,oz
as-the-crow-flies-by-dolly-demoratti,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/md3.jpg?v=1351706578,,,,,,,,,,,,,,,,,,,
lots-of-different-cups-by-gary-russell,Lots of Different Cups by Gary Russell,<p>Paper collage. Dimensions 24.5 x 33 cm. </p>,Art Against Knives Gallery,Collage,"",false,Size,33 x 24.5 cm,,,,,B0009,0,shopify,1,deny,manual,40.00,100.00,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/Lots_of_Different_Cups_B0009.jpg?v=1351607740,,false,,,,,,,,,,,,,,,,,oz
lots-of-different-cups-by-gary-russell,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Lots_of_Different_Cups_B10.jpg?v=1351607511,,,,,,,,,,,,,,,,,,,
untitled-by-lucia-pizzani,Untitled by Lucia Pizzani,"<p>Photography. Dimensions 40 x 50 cm. This piece is framed. &nbsp;</p>
",Art Against Knives Gallery,Photograph,"",true,Title,Default Title,,,,,B0007,0,shopify,0,deny,manual,65.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/untitled_b7.jpg?v=1351607233,,false,,,,,,,,,,,,,,,,,oz
untitled-by-lucia-pizzani,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/untitled_b8.jpg?v=1351607193,,,,,,,,,,,,,,,,,,,
single-nipples,Untitled,"<p><span>A two colour screen print. Dimensions 29.7 x 42 cm. An edition size of /8, numbered and signed by the artist.&nbsp;</span></p>
",BD Network,Print,"",true,Size,42 x 29.7 cm,,,,,D0041,0,shopify,3,deny,manual,35.00,45.00,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/Creatures_Visual_Referenece-12.jpg?v=1351525718,,false,,,,,,,,,,,,,,,,,oz
single-nipples,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Creatures_Visual_Referenece-13.jpg?v=1351525699,,,,,,,,,,,,,,,,,,,
blob-2,Blob,"<p><span>A one colour screen print. Dimensions 29.7 x 42 cm. Edition size of /8, numbered and signed by the artist. </span></p>",BD Network,Print,"",false,Size,29.7 x 42 cm,Color,Black,,,D0036,0,shopify,1,deny,manual,20.00,30.00,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/Creatures_Visual_Referenece-8.jpg?v=1351523776,,false,,,,,,,,,,,,,,,,,oz
blob-2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Creatures_Visual_Referenece-11.jpg?v=1351523785,,,,,,,,,,,,,,,,,,,
blob-1,Blob,"<p><span>One colour screen print. Dimensions 29.7 x 42 cm. Edition size of /8, numbered and signed by the artist. </span></p>",BD Network,Print,"",true,Size,29.7 x 42cm,Color,Black,,,D0030,0,shopify,0,deny,manual,20.00,30.00,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/Creatures_Visual_Referenece-6.jpg?v=1351523660,,false,,,,,,,,,,,,,,,,,oz
blob-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Creatures_Visual_Referenece-7.jpg?v=1351523629,,,,,,,,,,,,,,,,,,,
blob,Blob,"<p><span>One colour screen print. Dimensions 29.7 x 42 cm. Edition size of /8, numbered and signed by the artist. </span></p>",BD Network,Print,"",false,Size,42 x 29.7 cm,Color,Black,,,D0027,0,shopify,1,deny,manual,20.00,30.00,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/Creatures_Visual_Referenece-4.jpg?v=1351522639,,false,,,,,,,,,,,,,,,,,oz
blob,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Creatures_Visual_Referenece-5.jpg?v=1351522608,,,,,,,,,,,,,,,,,,,
monster-1,Monster,"<p><span>A two colour screen print. Dimensions 29.7 x 42 cm. Edition size of /8, numbered and signed by the artist. </span></p>",BD Network,Print,D0017,false,Size,42 x 29.7 cm,Color,Pink,,,D0017,0,shopify,1,deny,manual,35.00,45.00,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/creatures_visual_referenece_18.jpg?v=1351522039,,false,,,,,,,,,,,,,,,,,oz
monster-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/creatures_visual_referenece_19.jpg?v=1351522011,,,,,,,,,,,,,,,,,,,
monster,Monster,"<p>A two colour screen print. Dimensions 42 x 29.7 cm. Edition size of /8, numbered and signed by the artist. </p>",BD Network,Print,"",false,Size,42 x 29.7 cm,Color,Purple,,,D0022,0,shopify,0,deny,manual,35.00,45.00,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/Creatures_Visual_Referenece-17.jpg?v=1351522358,,false,,,,,,,,,,,,,,,,,oz
monster,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Creatures_Visual_Referenece-18.jpg?v=1351522324,,,,,,,,,,,,,,,,,,,
creature-2,Creature,"<p><span>A two colour screen print. Dimensions 29.7 x 42 cm. Edition size of /8, numbered and signed by the artist.</span></p>
",BD Network,Print,"",true,Size,29.7 x 42 cm,Color,Purple,,,D0011,0,shopify,6,deny,manual,30.00,45.00,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/creatures_visual_referenece_12.jpg?v=1351520934,,false,,,,,,,,,,,,,,,,,oz
creature-2,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/creatures_visual_referenece_13.jpg?v=1351520863,,,,,,,,,,,,,,,,,,,
creature-1,Creature,"<p><span>A two colour screen print. Dimensions 29.7 x 42 cm. Edition size of /8, numbered and signed by the artist.</span><span> </span></p>",BD Network,Print,"",true,Size,29.7 x 42cm,Color,Yellow,,,D0007,0,shopify,3,deny,manual,30.00,45.00,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/creatures_visual_referenece_10.jpg?v=1351520377,,false,,,,,,,,,,,,,,,,,oz
creature-1,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/creatures_visual_referenece_11.jpg?v=1351520274,,,,,,,,,,,,,,,,,,,
creature,Creature,"<p><span><span>A two colour screen print. Dimensions 29.7 x 42 cm. Edition size of /8, numbered and signed by the artist.</span> </span></p>",BD Network,Print,"",true,Size,29.7 x 42 cm,Color,Pink,,,D0001,0,shopify,6,deny,manual,30.00,45.00,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/Creatures_Visual_Referenece-9.jpg?v=1351520530,,false,,,,,,,,,,,,,,,,,oz
creature,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Creatures_Visual_Referenece-10.jpg?v=1351520556,,,,,,,,,,,,,,,,,,,
leopard-by-hannah-parr,Leopard by Hannah Parr,"<p>A striking print, created using three hand-pulled screen printed layers. Each print has been individually worked on with ink as a base colour by the artist. The unique appearance of this print is created by pulling the first screen printed layer with bleach. Dimensions 100 x 136 cm. Edition size of /35, numbered and signed by the artist.  </p>",Mother Drucker,Print,"",true,Size,136 cm x 100 cm,,,,,EMDC0044,0,shopify,1,deny,manual,250.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/HANNAHPARR_LEOPARD.jpg?v=1351514717,,false,,,,,,,,,,,,,,,,,oz
leopard-by-hannah-parr,,,,,,,,Framed,,,,,"",0,shopify,0,deny,manual,370.00,,true,true,,https://cdn.shopify.com/s/files/1/0190/2782/products/HANNAHPARR_LEOPARD_1.jpg?v=1351514739,,,,,,,,,,,,,,,,,,,oz
astronaut-by-victor-ash,Astronaut by Victor Ash,"<p>A one colour screen print produced at large format on bright white 300 gsm paper. The almost photographic result is created with a superfine halftone. Dimensions 82 x 126 cm. Edition size of /90, numbered and signed by the artist. </p>",Mother Drucker,Print,"",true,Size,70 x 100cm,,,,,EMDC0040,0,shopify,0,deny,manual,175.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/VictorAsh_Astronaut.jpg?v=1351275154,,false,,,,,,,,,,,,,,,,,oz
crisis-solved-by-nomad,Crisis Solved by Nomad,"<p>A two colour print on somerset antique, deckled edge paper. Dimensions 56 x 76 cm. Edition size of /50, numbered and signed by the artist. </p>",Mother Drucker,Print,"",true,FRAMED,UNFRAMED,,,,,"",0,shopify,1,deny,manual,150.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/Nomad_CrisisSolved.jpg?v=1351274128,,false,,,,,,,,,,,,,,,,,oz
crisis-solved-by-nomad,,,,,,,,FRAMED,,,,,"",0,shopify,1,deny,manual,250.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/Nomad_CrisisSolved_1.jpg?v=1351274200,,,,,,,,,,,,,,,,,,,oz
anything-aztec-by-dolly-demoratti,Anything Aztec by Dolly Demoratti,"<p>A six colour silkscreen print using overlapping layers to create an additional three colours. Based on a traditional Aztec pattern design. Dimensions 80 x 120 cm. Edition size of /5, numbered and signed by the artist. </p>",Mother Drucker,Print,"",false,Title,Default Title,,,,,EMDC0032,0,shopify,0,deny,manual,160.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/EMDC0032_-_EMDC0034_Dolly_Demoratti_1024x1024_EDIT.jpg?v=1352120397,,false,,,,,,,,,,,,,,,,,oz
anything-aztec-by-dolly-demoratti,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/EMDC0032_-_EMDC0034_Dolly_Demoratti_1024x1024_EDIT_2.jpg?v=1352120375,,,,,,,,,,,,,,,,,,,
wives-by-hannah-parr,Wives by Hannah Parr,"<p>A two colour screen print, using black gloss on black matt. The subtle effect of the two different finishes compliment each other and counterbalance the harshness of the black space. Dimensions 82 x 126 cm. Edition size of /15, numbered and signed by the artist.&nbsp;</p>
",Mother Drucker,Print,"",true,Color,Black,Size,82 cm x 126 cm,,,EMDC0022,0,shopify,3,deny,manual,165.00,,true,true,"",https://cdn.shopify.com/s/files/1/0190/2782/products/Hannah_Parr_Wives_1.jpg?v=1351508659,,false,,,,,,,,,,,,,,,,,oz
wives-by-hannah-parr,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0190/2782/products/Hannah_Parr_Wives.jpg?v=1351508729,,,,,,,,,,,,,,,,,,,
